ts,Humedad_,MQ135_raw
2025-09-30 15:50:22,5,129
2025-09-30 15:50:22,5,129
2025-09-30 15:50:23,5,129
2025-09-30 15:50:23,5,128
2025-09-30 15:50:24,5,129
2025-09-30 15:50:24,5,129
2025-09-30 15:50:25,5,129
2025-09-30 15:50:25,5,128
2025-09-30 15:50:26,5,128
2025-09-30 15:50:26,5,128
2025-09-30 15:50:27,5,128
2025-09-30 15:50:27,5,129
2025-09-30 15:50:28,5,128
2025-09-30 15:50:28,5,128
2025-09-30 15:50:29,5,128
2025-09-30 15:50:29,5,128
2025-09-30 15:50:30,5,128
2025-09-30 15:50:30,5,128
2025-09-30 15:50:31,5,127
2025-09-30 15:50:31,5,127
2025-09-30 15:50:32,5,127
2025-09-30 15:50:32,5,127
2025-09-30 15:50:33,5,127
2025-09-30 15:50:34,5,127
2025-09-30 15:50:34,5,127
2025-09-30 15:50:35,5,127
2025-09-30 15:50:35,5,127
2025-09-30 15:50:36,5,126
2025-09-30 15:50:36,5,127
2025-09-30 15:50:37,5,127
2025-09-30 15:50:37,5,126
2025-09-30 15:50:38,5,126
2025-09-30 15:50:38,5,126
2025-09-30 15:50:39,5,126
2025-09-30 15:50:39,5,126
2025-09-30 15:50:40,5,126
2025-09-30 15:50:40,5,126
2025-09-30 15:50:41,5,125
2025-09-30 15:50:41,5,126
2025-09-30 15:50:42,5,126
2025-09-30 15:50:42,5,125
2025-09-30 15:50:43,5,126
2025-09-30 15:50:43,5,126
2025-09-30 15:50:44,5,125
2025-09-30 15:50:44,5,125
2025-09-30 15:50:45,5,124
2025-09-30 15:50:45,5,124
2025-09-30 15:50:46,5,124
2025-09-30 15:50:46,5,124
2025-09-30 15:50:47,5,125
2025-09-30 15:50:47,5,124
2025-09-30 15:50:48,5,124
2025-09-30 15:50:48,5,125
2025-09-30 15:50:49,5,124
2025-09-30 15:50:49,5,123
2025-09-30 15:50:50,5,124
2025-09-30 15:50:50,5,124
2025-09-30 15:50:51,5,124
2025-09-30 15:50:51,5,124
2025-09-30 15:50:52,5,124
2025-09-30 15:50:52,5,123
2025-09-30 15:50:53,5,123
2025-09-30 15:50:53,5,123
2025-09-30 15:50:54,5,123
2025-09-30 15:50:54,5,123
2025-09-30 15:50:55,5,123
2025-09-30 15:50:55,5,123
2025-09-30 15:50:56,5,123
2025-09-30 15:50:56,5,123
2025-09-30 15:50:57,5,122
2025-09-30 15:50:57,5,122
2025-09-30 15:50:58,5,122
2025-09-30 15:50:58,5,122
2025-09-30 15:50:59,5,122
2025-09-30 15:50:59,5,121
2025-09-30 15:51:00,5,122
2025-09-30 15:51:00,5,122
2025-09-30 15:51:01,5,121
2025-09-30 15:51:01,5,121
2025-09-30 15:51:02,5,121
2025-09-30 15:51:02,5,121
2025-09-30 15:51:03,5,121
2025-09-30 15:51:03,5,121
2025-09-30 15:51:04,5,120
2025-09-30 15:51:04,5,121
2025-09-30 15:51:05,5,121
2025-09-30 15:51:05,5,120
2025-09-30 15:51:06,5,121
2025-09-30 15:51:06,5,121
2025-09-30 15:51:07,5,121
2025-09-30 15:51:07,5,121
2025-09-30 15:51:08,5,120
2025-09-30 15:51:08,5,120
2025-09-30 15:51:09,5,120
2025-09-30 15:51:09,5,120
2025-09-30 15:51:10,5,120
2025-09-30 15:51:10,5,121
2025-09-30 15:51:11,5,120
2025-09-30 15:51:11,5,120
2025-09-30 15:51:12,5,119
2025-09-30 15:51:12,5,120
2025-09-30 15:51:13,5,119
2025-09-30 15:51:13,5,119
2025-09-30 15:51:14,5,119
2025-09-30 15:51:14,5,120
2025-09-30 15:51:15,5,119
2025-09-30 15:51:15,5,119
2025-09-30 15:51:16,5,119
2025-09-30 15:51:16,5,119
2025-09-30 15:51:17,5,118
2025-09-30 15:51:17,5,119
2025-09-30 15:51:18,5,119
2025-09-30 15:51:18,5,119
2025-09-30 15:51:19,5,119
2025-09-30 15:51:19,6,118
2025-09-30 15:51:20,5,118
2025-09-30 15:51:20,5,119
2025-09-30 15:51:21,5,118
2025-09-30 15:51:21,5,118
2025-09-30 15:51:22,5,118
2025-09-30 15:51:22,5,118
2025-09-30 15:51:23,5,118
2025-09-30 15:51:23,5,118
2025-09-30 15:51:24,5,118
2025-09-30 15:51:24,5,117
2025-09-30 15:51:25,5,117
2025-09-30 15:51:25,5,117
2025-09-30 15:51:26,5,117
2025-09-30 15:51:26,5,117
2025-09-30 15:51:27,5,116
2025-09-30 15:51:27,5,117
2025-09-30 15:51:28,5,117
2025-09-30 15:51:28,5,117
2025-09-30 15:51:29,5,117
